DATE,ALLSKY_SFC_SW_DWN,T2M
2023-01-01,0.6343,9.18
2023-01-02,1.049,4.84
2023-01-03,0.2347,7.7
2023-01-04,0.6742,11.06
2023-01-05,0.6101,9.94
2023-01-06,0.799,8.65
2023-01-07,0.3938,8.98
2023-01-08,0.4462,6.96
2023-01-09,1.1052,5.21
2023-01-10,0.3194,7.77
2023-01-11,0.6254,8.0
2023-01-12,0.3713,9.75
2023-01-13,1.1962,6.64
2023-01-14,0.6067,8.23
2023-01-15,1.0896,4.29
2023-01-16,0.833,0.92
2023-01-17,1.2727,-2.48
2023-01-18,1.405,-0.42
2023-01-19,1.4441,-0.53
2023-01-20,1.4969,0.63
2023-01-21,1.3404,0.68
2023-01-22,1.1446,-0.29
2023-01-23,1.4902,-0.34
2023-01-24,1.3562,0.55
2023-01-25,0.5412,0.79
2023-01-26,0.9989,2.67
2023-01-27,1.0126,2.91
2023-01-28,0.8546,1.8
2023-01-29,0.7786,3.74
2023-01-30,1.6392,4.42
2023-01-31,1.4021,4.56
2023-02-01,1.0126,5.1
2023-02-02,0.755,7.36
2023-02-03,1.2149,8.47
2023-02-04,0.7258,6.64
2023-02-05,1.9135,3.95
2023-02-06,2.22,3.75
2023-02-07,2.1331,1.95
2023-02-08,2.2872,1.02
2023-02-09,1.7837,3.1
2023-02-10,1.6418,3.03
2023-02-11,1.104,6.6
2023-02-12,0.8837,6.57
2023-02-13,2.3042,4.52
2023-02-14,2.1502,5.1
2023-02-15,2.3167,7.31
2023-02-16,1.0346,8.65
2023-02-17,1.3618,10.56
2023-02-18,1.1755,10.22
2023-02-19,2.3196,8.1
2023-02-20,1.9445,8.71
2023-02-21,1.152,7.5
2023-02-22,1.2312,6.06
2023-02-23,1.1954,4.71
2023-02-24,1.4746,3.15
2023-02-25,1.8691,3.39
2023-02-26,2.3462,2.23
2023-02-27,1.8451,2.72
2023-02-28,1.3582,4.51
2023-03-01,1.6423,4.38
2023-03-02,3.3658,3.13
2023-03-03,1.272,3.79
2023-03-04,1.296,3.85
2023-03-05,1.62,1.68
2023-03-06,1.6534,3.15
2023-03-07,1.6805,2.57
2023-03-08,1.2821,1.21
2023-03-09,1.0562,5.19
2023-03-10,1.7662,3.47
2023-03-11,2.6131,2.54
2023-03-12,2.1814,9.22
2023-03-13,2.3618,11.29
2023-03-14,3.4426,5.83
2023-03-15,2.1758,4.57
2023-03-16,2.22,9.8
2023-03-17,2.1504,10.43
2023-03-18,2.447,10.11
2023-03-19,2.6052,7.82
2023-03-20,1.4314,9.12
2023-03-21,2.6064,10.17
2023-03-22,3.3478,10.54
2023-03-23,3.0122,10.68
2023-03-24,3.4934,9.74
2023-03-25,3.5791,9.41
2023-03-26,1.8816,6.65
2023-03-27,4.182,4.68
2023-03-28,1.5108,6.76
2023-03-29,1.2622,10.94
2023-03-30,3.623,11.56
2023-03-31,1.9541,10.58
2023-04-01,1.9368,8.27
2023-04-02,3.0276,6.74
2023-04-03,4.9474,5.34
2023-04-04,5.7127,5.93
2023-04-05,2.7014,6.84
2023-04-06,3.2938,9.32
2023-04-07,5.5154,7.82
2023-04-08,4.9822,8.01
2023-04-09,4.3798,9.36
2023-04-10,3.5165,10.48
2023-04-11,3.3125,8.19
2023-04-12,4.0253,6.81
2023-04-13,5.5582,7.64
2023-04-14,2.3376,7.25
2023-04-15,3.6962,9.06
2023-04-16,3.0602,10.49
2023-04-17,3.2585,10.69
2023-04-18,4.3764,8.39
2023-04-19,3.7186,9.98
2023-04-20,6.4656,8.24
2023-04-21,2.183,7.42
2023-04-22,3.601,9.16
2023-04-23,3.4517,9.99
2023-04-24,2.771,7.65
2023-04-25,5.9534,6.43
2023-04-26,3.0146,7.74
2023-04-27,2.1785,8.96
2023-04-28,3.6194,12.44
2023-04-29,5.2807,10.99
2023-04-30,3.6026,11.32
2023-05-01,4.0214,11.89
2023-05-02,3.6173,10.51
2023-05-03,6.4615,9.27
2023-05-04,4.7666,12.99
2023-05-05,4.8326,12.87
2023-05-06,1.8468,12.17
2023-05-07,4.7628,14.86
2023-05-08,2.4538,12.66
2023-05-09,3.7102,13.8
2023-05-10,5.1154,12.86
2023-05-11,5.0875,12.51
2023-05-12,3.6598,10.42
2023-05-13,3.6758,11.76
2023-05-14,5.7566,12.79
2023-05-15,5.9186,11.31
2023-05-16,6.2993,11.12
2023-05-17,5.4058,12.29
2023-05-18,5.5166,12.69
2023-05-19,4.4544,11.49
2023-05-20,7.231,12.42
2023-05-21,6.4118,12.88
2023-05-22,5.2685,13.5
2023-05-23,5.7739,12.13
2023-05-24,7.4347,13.88
2023-05-25,6.7582,13.05
2023-05-26,8.0189,12.11
2023-05-27,7.9114,12.59
2023-05-28,6.8599,13.39
2023-05-29,7.0015,11.57
2023-05-30,6.235,12.68
2023-05-31,5.214,13.75
2023-06-01,5.857,13.34
2023-06-02,6.9442,12.57
2023-06-03,7.098,14.05
2023-06-04,8.2051,13.93
2023-06-05,5.2783,13.06
2023-06-06,4.1654,13.2
2023-06-07,6.823,13.71
2023-06-08,8.0662,14.22
2023-06-09,7.7122,16.74
2023-06-10,6.6372,19.67
2023-06-11,5.047,20.83
2023-06-12,5.274,20.55
2023-06-13,7.9147,18.53
2023-06-14,8.0314,18.08
2023-06-15,7.5216,18.44
2023-06-16,7.571,18.36
2023-06-17,5.341,18.2
2023-06-18,3.7666,18.86
2023-06-19,6.5602,18.26
2023-06-20,3.4997,18.47
2023-06-21,6.6226,18.78
2023-06-22,6.7363,19.83
2023-06-23,6.433,19.83
2023-06-24,5.755,20.71
2023-06-25,7.2725,21.1
2023-06-26,6.2803,17.34
2023-06-27,3.0718,17.59
2023-06-28,2.6071,19.54
2023-06-29,5.9503,17.79
2023-06-30,3.0653,16.44
2023-07-01,4.6478,18.16
2023-07-02,5.7062,16.15
2023-07-03,4.8478,15.67
2023-07-04,2.2807,14.92
2023-07-05,5.5483,15.2
2023-07-06,5.9705,15.97
2023-07-07,8.1562,19.71
2023-07-08,3.3046,20.84
2023-07-09,5.4103,18.11
2023-07-10,4.6078,18.5
2023-07-11,4.163,18.39
2023-07-12,5.3287,17.31
2023-07-13,4.3382,17.1
2023-07-14,1.2782,16.63
2023-07-15,5.2836,17.45
2023-07-16,5.1276,16.72
2023-07-17,6.2796,16.93
2023-07-18,4.5701,17.09
2023-07-19,4.8336,17.5
2023-07-20,5.3784,17.28
2023-07-21,4.4885,16.27
2023-07-22,1.9951,15.78
2023-07-23,4.909,19.1
2023-07-24,2.6321,15.95
2023-07-25,5.2291,15.31
2023-07-26,4.9788,15.91
2023-07-27,3.7874,19.29
2023-07-28,3.883,18.84
2023-07-29,5.7607,18.49
2023-07-30,3.301,17.22
2023-07-31,2.4434,17.58
2023-08-01,5.1655,17.39
2023-08-02,3.6977,17.47
2023-08-03,4.0495,17.01
2023-08-04,3.245,16.71
2023-08-05,2.5994,14.93
2023-08-06,5.3112,14.49
2023-08-07,5.5555,15.66
2023-08-08,2.3246,15.06
2023-08-09,6.3718,17.61
2023-08-10,5.9395,19.26
2023-08-11,5.1586,19.61
2023-08-12,4.1345,18.12
2023-08-13,3.6588,18.21
2023-08-14,3.0934,18.57
2023-08-15,5.2279,18.01
2023-08-16,5.4062,18.6
2023-08-17,4.8062,18.7
2023-08-18,3.2093,19.45
2023-08-19,4.9068,19.82
2023-08-20,5.0546,18.76
2023-08-21,4.8766,18.18
2023-08-22,5.5157,19.09
2023-08-23,5.2003,19.52
2023-08-24,4.1143,19.97
2023-08-25,4.2226,16.17
2023-08-26,3.7183,15.23
2023-08-27,3.7728,14.79
2023-08-28,3.5033,15.18
2023-08-29,3.8222,15.77
2023-08-30,4.0846,14.89
2023-08-31,2.2342,14.61
2023-09-01,3.2316,18.79
2023-09-02,3.7454,18.66
2023-09-03,5.2231,18.79
2023-09-04,5.5466,19.67
2023-09-05,5.3496,20.23
2023-09-06,4.7131,21.3
2023-09-07,4.9956,21.91
2023-09-08,3.9125,22.07
2023-09-09,4.8187,24.07
2023-09-10,2.725,21.91
2023-09-11,3.3962,20.12
2023-09-12,1.9582,18.74
2023-09-13,3.5021,16.29
2023-09-14,3.979,16.8
2023-09-15,3.991,17.98
2023-09-16,3.0146,18.68
2023-09-17,1.3356,17.86
2023-09-18,2.6983,16.99
2023-09-19,1.4251,16.63
2023-09-20,1.0942,17.82
2023-09-21,3.4166,13.88
2023-09-22,3.3734,13.13
2023-09-23,3.6262,12.6
2023-09-24,2.0006,16.59
2023-09-25,3.7601,17.0
2023-09-26,3.2561,17.13
2023-09-27,1.8137,16.83
2023-09-28,1.7225,16.25
2023-09-29,3.8882,16.0
2023-09-30,2.3573,14.52
2023-10-01,1.7117,17.63
2023-10-02,1.3025,17.24
2023-10-03,3.144,14.47
2023-10-04,2.4312,13.25
2023-10-05,2.2994,14.51
2023-10-06,2.8567,16.24
2023-10-07,2.8027,17.38
2023-10-08,3.0902,16.59
2023-10-09,3.0106,15.68
2023-10-10,2.321,16.11
2023-10-11,1.4136,16.02
2023-10-12,1.1962,14.64
2023-10-13,1.9298,16.45
2023-10-14,2.7408,9.0
2023-10-15,3.283,6.46
2023-10-16,1.4686,7.9
2023-10-17,2.827,10.84
2023-10-18,0.9859,12.9
2023-10-19,1.2982,15.67
2023-10-20,1.0632,13.66
2023-10-21,1.0829,12.32
2023-10-22,2.4588,9.66
2023-10-23,1.4693,10.29
2023-10-24,2.0381,10.42
2023-10-25,2.0026,10.48
2023-10-26,1.9668,11.36
2023-10-27,1.8355,9.99
2023-10-28,1.6171,12.12
2023-10-29,1.2581,10.82
2023-10-30,1.8106,9.98
2023-10-31,1.2463,10.36
2023-11-01,1.3769,11.75
2023-11-02,0.6989,10.41
2023-11-03,1.5725,9.13
2023-11-04,1.344,9.29
2023-11-05,1.5029,8.89
2023-11-06,1.7371,9.12
2023-11-07,1.5792,7.87
2023-11-08,0.5633,8.77
2023-11-09,1.4129,7.28
2023-11-10,1.2074,6.84
2023-11-11,1.7126,5.55
2023-11-12,0.7157,7.42
2023-11-13,1.1407,11.87
2023-11-14,0.6497,10.27
2023-11-15,1.4712,7.68
2023-11-16,0.4145,5.43
2023-11-17,1.4438,6.16
2023-11-18,0.3794,11.79
2023-11-19,0.7238,10.95
2023-11-20,1.0282,9.22
2023-11-21,0.6586,8.33
2023-11-22,0.6223,7.06
2023-11-23,1.32,9.83
2023-11-24,1.0613,4.88
2023-11-25,1.5127,0.67
2023-11-26,0.4188,3.7
2023-11-27,0.4831,6.64
2023-11-28,1.0238,2.96
2023-11-29,0.9883,0.19
2023-11-30,0.9168,0.11
2023-12-01,0.9708,-0.54
2023-12-02,0.8443,-1.56
2023-12-03,0.3473,5.42
2023-12-04,0.3578,5.12
2023-12-05,0.4226,3.95
2023-12-06,0.9384,2.1
2023-12-07,0.4819,5.71
2023-12-08,0.8914,7.51
2023-12-09,0.6516,9.07
2023-12-10,0.4742,8.18
2023-12-11,0.9022,7.48
2023-12-12,0.8561,9.12
2023-12-13,0.4754,5.91
2023-12-14,0.6084,4.13
2023-12-15,0.6175,4.46
2023-12-16,0.6062,8.17
2023-12-17,0.607,8.28
2023-12-18,0.3605,9.78
2023-12-19,0.263,8.93
2023-12-20,0.635,7.2
2023-12-21,0.5297,9.79
2023-12-22,0.3941,8.77
2023-12-23,0.564,8.93
2023-12-24,0.2071,11.73
2023-12-25,0.2854,11.16
2023-12-26,0.7644,6.37
2023-12-27,0.2448,9.47
2023-12-28,0.5239,10.16
2023-12-29,0.7267,7.96
2023-12-30,0.3619,8.51
2023-12-31,0.5688,7.93
